,Competition,Stage,Year,Number,Problem Statement,ID,Figure,Answer
0,OSN,Regional,2011,1,Ada berapa faktor positif dari $2^7 3^5 5^3 7^2$ yang merupakan kelipatan 10 ?,OSN_Regional_2011_1,,378
1,OSN,Regional,2011,2,"Bilangan asli terkecil lebih dari 2011 yang bersisa 1 jika dibagi 2,3,4,5,6,7,8,9,10 adalah $\dots$",OSN_Regional_2011_2,,2521
2,OSN,Regional,2011,3,Bilangan bulat positif terkecil $a$ sehingga $2a + 4a + 6a + \cdots + 200a$ merupakan kuadrat sempurna adalah $\dots$,OSN_Regional_2011_3,,101
3,OSN,Regional,2011,4,"Untuk bilangan asli $n$, $p(n)$ dan $s(n)$ berturut–turut menyatakan hasil kali dan jumlah angka pembentuk $n$. Jika $n$ bilangan dua angka dan $n + p(n) + s(n) = 69$, maka $n$ adalah $\dots$",OSN_Regional_2011_4,,52
4,OSN,Regional,2011,5,Jumlah digit dari $(111.111.111)^2$ adalah $\dots$,OSN_Regional_2011_5,,81
5,OSN,Regional,2011,6,"Dua buah dadu dilempar bersama–sama. Sisi dadu pertama diberi angka 1,2,2,3,3,4. Sisi dadu kedua diberi angka $1$ ,$3$ ,$4$, $5$, $6$, dan $8$. Peluang agar jumlah kedua sisi atas sama dengan $5$, $7$, atau $9$ adalah $\dots$",OSN_Regional_2011_6,,$\frac{14}{36}$
6,OSN,Regional,2011,7,"Keliling suatu segitiga adalah 5 dan jumlah kuadrat sisi–sisinya adalah 17. Jika jari–jari lingkaran luar segitiga itu adalah 2, maka jumlah ketiga tinggi segitiga itu adalah $\dots$",OSN_Regional_2011_7,,1
7,OSN,Regional,2011,8,"Jika bilangan $m$ dibagi 5 memberikan sisa 3, dan bilangan $n$ dibagi 5 memberikan sisa 2. Maka bilangan $mn$ bila dibagi 5 akan memberikan sisa $\dots$",OSN_Regional_2011_8,,1
8,OSN,Regional,2011,9,"Nilai dari
\[
\frac{(2^{2010})^2 - (2^{2008})^2}{(2^{2011})^2 - (2^{2009})^2}
\]
adalah $\dots$",OSN_Regional_2011_9,,$\frac{1}{4}$
9,OSN,Regional,2011,10,Diketahui sebuah bulan dengan jumlah hari 31 memiliki jumlah hari Selasa dan Kamis yang sama banyaknya. Maka hari yang mungkin sebagai hari awal pada bulan tersebut adalah $\dots$,OSN_Regional_2011_10,,"Selasa, Jumat, dan Sabtu"
10,OSN,Regional,2011,11,"Diberikan segitiga $ABC$, melalui $AB$ sebagai diameter dibuat lingkaran. Lingkaran tersebut memotong $AC$ dan $BC$ berturut–turut di titik $D$ dan $E$. Jika $AD = \frac13 AC$, $BE = \frac14 BC$ dan $AB = 30$, maka luas segitiga ABC adalah $\dots$",OSN_Regional_2011_11,,540
11,OSN,Regional,2011,12,Jika $n = 2011^2 + 2^{2011}$ maka digit satuan dari $n^2$ adalah $\dots$,OSN_Regional_2011_12,,1
12,OSN,Regional,2011,13,"Tentukan nilai dari $3x^2 y^2$ jika $x$ dan $y$ adalah bilangan bulat yang memenuhi persamaan
\[
y^2 + 3x^2 y^2 = 30x^2 + 517
\]",OSN_Regional_2011_13,,588
13,OSN,Regional,2011,14,Setiap sekolah di kota A mengirimkan masing–masing 3 murid untuk mengikuti lomba matematika. Setiap peserta memperoleh nilai yang berbeda. Nilai Ali merupakan median dari nilai semua peserta dan merupakan nilai tertinggi dari teman satu sekolahnya yaitu Budi dan Charli. Jika Budi memperoleh peringkat 37 dan Charli peringkat 64 maka banyaknya sekolah di kota A adalah $\dots$,OSN_Regional_2011_14,,23
14,OSN,Regional,2011,15,"Misalkan $f$ suatu fungsi yang memenuhi
\[
f(xy) = \frac{f(x)}{y}
\]
untuk semua bilangan real positif $x$ dan $y$. Jika $f(100) = 3$ maka $f(10)$ adalah $\dots$",OSN_Regional_2011_15,,30
15,OSN,Regional,2011,16,Koefisien $x^4$ dalam penjabaran $(1 + 2x + 3x^2)^{10}$ adalah $\dots$,OSN_Regional_2011_16,,8085
16,OSN,Regional,2011,17,"Diketahui segi empat konveks $ABCD$. Titik–titik $P,Q,R,S$ berturut–turut pada sisi $AB, BC, CD, DA$. Tentukan nilai $k$ sedemikian sehingga
\[
\frac{AP}{PB} = \frac{BQ}{QC} = \frac{CR}{RD} = \frac{DS}{SA} = k < 1
\]
dan luas dari $PQRS = 52\%$ dari luas $ABCD$.",OSN_Regional_2011_17,,$\frac{2}{3}$
17,OSN,Regional,2011,18,"Sekelompok orang akan berjabat tangan. Setiap orang hanya dapat melakukan jabat tangan sekali. Tidak boleh berjabat tangan dengan dirinya sendiri. Jika dalam suatu kelompok terjadi 190 jabat tangan, maka banyaknya orang dalam kelompok tersebut adalah $\dots$",OSN_Regional_2011_18,,20
18,OSN,Regional,2011,19,"Diketahui segitiga $ABC$, titik $D$ dan $E$ berturut–turut pada sisi $AB$ dan $AC$, dengan panjang $AD = \frac12 BD$ dan $AE = \frac12 CE$. Garis $BE$ dan $CD$ berpotongan di titik $F$. Diketahui luas segitiga $ABC$ adalah $90$ cm$^2$. Luas segiempat $ADFE$ adalah $\dots$",OSN_Regional_2011_19,,15
19,OSN,Regional,2011,20,"Ani mempunyai sangat banyak dadu dengan ukuran $3 \times 3 \times 3$ cm$^3$. Jika ia memasukkan dadu–dadu tersebut ke dalam sebuah kardus dengan ukuran $50 \times 40 \times 35$ cm$^3$, maka berapa banyak dadu yang bisa masuk ke dalam kardus tersebut?",OSN_Regional_2011_20,,2288
20,OSN,Regional,2012,1,"Banyaknya bilangan bulat $n$ yang memenuhi
$$(n-1)(n-3)(n-5)\cdots(n-2013) = n(n+2)(n+4)\cdots(n+2012)$$
adalah $\dots$",OSN_Regional_2012_1,,0
21,OSN,Regional,2012,2,Banyaknya pasangan bilangan asli berbeda yang selisih kuadratnya 2012 adalah $\dots$,OSN_Regional_2012_2,,1
22,OSN,Regional,2012,3,"Bilangan asli terbesar $x$ kurang dari 1000 sehingga terdapat tepat dua bilangan asli sehingga
\[
\frac{n^2 + x}{n+1}
\]
merupakan bilangan asli adalah $\dots$",OSN_Regional_2012_3,,960
